Sender;Message
Jean Marc Muller;Épidémie de cystite au CFAI... Restez chez vous demain.
Gutnic;Succès : vous avez le cancer :)
Gutnic;Le noir est un peu fatigué ….
Miloud;Calvulez
Eisenmann;L’espoir fait vivre mais ne fait pas avoir le module …
Milano;Vous ne pouvez pas donner à boire à un âne qui n’a pas soif.
Milano;Il faut parfois renoncer à l’idéal pour honorer l’avenir.
Ms. Krauss;Ohhh !? What is a Sikish Party ?
Davidou;bon soleil bisous la vie elle est belle
Davidou;à table direction terrasse avec les femmes yeahhhhh content
Davidou;je change de voiture comme de slip oh yéééééé
Chamelle;ça en est trop ! je met le caleçon sous la table …
Benoit;T’en fais pas, j’ai passé l’eau sous l’éponge.
Joé;Rend mon capot connard !!!!!
Bilou;Moi c’est encore piiiiiiire
Julien;Tant pis champy !
Tanguy;J’ai les cramptés …
Github Copilot;La PR n’est pas passée !
Florian;Derya donne ton RIB.
Anita GPT;Vous êtes qui ?
Anita GPT;Paul Chopinet c’est vous qui avez signé Vice Président ?
Miloud;T’es sûr que t’as pas d’alcool dans ta gourde ?
Florian;Dédicace à Franck G !
Florian;Dédicace à Hamza !
Derya;J'te paie 500€ Aux Trois Goûts !
Pierre Gançarski;Je vais te mettre un taquet toi.
Edourd;Vous avez violé tous les principes solides
Edourd;Beeeh ton code il smell
Von Dei;J'ai jamais vu un idiot aussi développé
Guillaume;Je dois déposer Kirikou à la piscine
Gratzilou;Papaaa... J'ai du Git stash plein les dents...
Joé;Tu veux voir ma grotte ?
Von Der Flucht;J'lui fait un boulooot...
Von Dei;Je m'attelle à la tâche...
Tellier;C'est dans les Tuche 
Von Der Flucht;T'facon ça marche pas les arrêts cardiaques
Von Der Flucht;8 arrêts cardiaques, 9 décès... Dur dur la soirée
Franck;Beeeh tu as du Bragua plein les dents...
#31#;Je Bayes M. Gutnix
Tellier;8 bites me suffisent
Tellier;On peut savoir de combien de bites on a besoin
Raffael;Ben alors mon boeuf ?
Vulien;Le projet est mort
Gutnic;J'ai pas sur noté tant que ça
Benoit;Ouais les gars, j'arrête le BK !
Chirstian Dort;Ben, pourquoi ya personne au cours atalcel ?
Bastian;Coucou Virginie, pourquoi tu viens que quand je suis seul ?
Virginie;Non aux guirlandes bande de rabougri !
Algeco;OOooh qu'est ce que je smeeel avec ces collegiens....
Airbus;J'ai un Béluga en bout de piste..
Livl +;- PROMOTION SPECIALE : -50% sur les Rollmops
Dealabs;- ALERTE : Erreur de calvul sur le kit de débouchage de canalisation !
Alecvandre R;@everyone je ramène les petits pains !
Maxime Davidson;Les étudients de Reims sont rincés....
Maxime H;J'adore le groupe qui fait le jeu livl !!
Maxime H;Je pense que je vais mettre 20/20 au groupe Livl Corporation !
Julien Bourré;Ben alors Tar ???? C'est quoi ça dans l'historique ??? HEIN ?
Sender;Message      nan j'dec c pas un bug haha
Raffael;Il fait une chaleur aveuglante dans ce Livl..
Raffael;Je suis en manque d'eau cruciaaaale !
Isavet;On va la remplir Joé..
Voé;Tu veux voir ma grotte ?
Ravvael;Regarde ce crapeaud
